A股代码,A股简称,H股代码,H股简称,最新价,总市值(亿),每股收益,每股净资产,市净率,股息率(%),动态市盈率,静态市盈率,市盈率TTM,成立日期,上市日期,所属市场,所属行业,入选指数,主营业务
600000,浦发银行,,,9.54,3177.38,0.5,14.39,0.43,-7.02,6.35,6.35,6.35,1992-10-19,1999-11-10,上交所,货币金融服务,"ESG 300,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180",金融与信托投资业务。
600004,白云机场,,,8.83,208.98,4.99,10.41,1.1,2.28,16.81,24.58,15.58,2000-09-19,2003-04-28,上交所,航空运输业,"ESG 300,国证Ａ指,巨潮小盘,责任指数,中证500",以航空地面客货过港服务为主业，以与航空主业相关的延伸服务为辅助，形成以客货过港为主线，配合客货代理、航空配餐、场所出租、住宿餐饮、广告、商贸等业务的立体服务系统。
600006,东风股份,,,6.29,125.8,-3.0,8.94,1.62,-11.72,-26.23,-26.23,-26.23,1999-07-21,1999-07-27,上交所,汽车制造业,"国证Ａ指,中证央企",开发、设计、生产销售汽车、汽车发动机及其零部件、铸件。
600007,中国国贸,,,21.73,218.88,10.5,22.48,2.25,1.31,18.21,18.21,18.21,1997-10-15,1999-03-12,上交所,房地产业,"国证Ａ指,上证380,责任指数,中证500",开展旅游、商务服务设施的经营与管理。
600008,首创环保,,,3.06,224.62,2.06,3.36,1.08,5.88,12.68,12.68,12.68,1999-08-31,2000-04-27,上交所,水的生产和供应业,"ESG 300,国证Ａ指,巨潮小盘,上证380,中证500",公用基础设施的投资及管理；高科技产品的技术开发等。
600009,上海机场,,,27.22,557.0,3.84,34.92,1.61,-13.78,28.62,35.02,31.09,1998-02-11,1998-02-18,上交所,航空运输业,"国证Ａ指,沪深300,巨潮大盘,上证180",机场建设、施工、运营管理和与国内外航空运输有关的地面服务。
600010,包钢股份,,,2.77,869.25,0.25,3.41,2.41,56.67,335.77,335.77,335.77,1999-06-29,2001-03-09,上交所,黑色金属冶炼和压延加工业,"国证Ａ指,沪深300,巨潮大盘,上证180,中证A100",生产、销售黑色金属、钢铁制品及其压延加工产品
600011,华能国际,902.0,华能国际电力股份,6.99,768.74,3.19,8.49,1.69,2.64,7.62,7.62,7.62,1994-06-30,2001-12-06,上交所,电力、热力生产和供应业,"ESG 300,ESG 40,国证Ａ指,沪深300,巨潮大盘,上证180,中证央企",投资、建设、经营管理电厂；开发、投资、经营以出口为主的其他相关企业。
600012,皖通高速,995.0,安徽皖通高速公路,16.18,188.59,6.11,17.98,2.16,-4.63,14.72,14.72,14.72,1996-08-15,2003-01-07,上交所,道路运输业,"国证2000,国证Ａ指,上证380,中证红利",持有、经营及开发安徽省境内外的收费高速公路及公路。
600015,华夏银行,,,7.18,1104.8,0.59,8.62,0.36,-3.69,4.2,4.2,4.2,1992-10-14,2003-09-12,上交所,货币金融服务,"国证Ａ指,国证红利,红利指数,沪深300,巨潮大盘,上证180,中证红利",吸收人民币存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项；提供保管箱服务；外汇存款；外汇贷款；外汇汇款等。
600016,民生银行,1988.0,民生银行,3.74,1326.28,0.39,5.48,0.29,-0.85,5.36,5.36,5.36,1996-02-07,2000-12-19,上交所,货币金融服务,"国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180,央视50,中证红利",经营吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据贴现；发行金融债券等。
600017,日照港,,,3.0,92.27,1.43,3.37,0.66,-0.7,18.65,18.65,18.65,2002-07-15,2006-10-17,上交所,水上运输业,"国证2000,国证Ａ指",煤炭、矿石等杂货的装卸、堆存等港口业务。
600018,上港集团,,,4.92,1143.74,6.74,5.86,0.81,-7.08,8.44,8.44,8.44,1988-10-21,2006-10-26,上交所,水上运输业,"ESG 40,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180",集装箱业务、散杂货业务、港口服务和港口物流业务。
600019,宝钢股份,,,6.38,1389.7,2.81,7.83,0.68,1.05,14.72,18.88,13.09,2000-02-03,2000-12-12,上交所,黑色金属冶炼和压延加工业,"ESG 300,ESG 40,分析师指数,国证A50,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180,责任指数,中证A100,中证新兴,中证央企",钢铁冶炼、加工，电力、煤炭、工业气体生产等。
600020,中原高速,,,3.81,85.62,1.17,4.96,0.74,-9.72,13.62,13.62,13.62,2000-12-28,2003-08-08,上交所,道路运输业,"国证2000,国证Ａ指",高等级公路、大型和特大型独立桥梁等交通基础设施项目融资、投资、开发建设和经营管理。
